seed,model_name,severity,expert_id,dispatch_rate
2,matched_single_gate,moderate_dysarthria,3,0.01622023805975914
2,matched_single_gate,severe_dysarthria,0,0.5277966260910034
2,matched_single_gate,severe_dysarthria,1,0.5576271414756775
2,matched_single_gate,severe_dysarthria,2,0.9111864566802979
2,matched_single_gate,severe_dysarthria,3,0.003389830468222499
2,decoupled_severity_moe,control_typical,0,0.20541125535964966
2,decoupled_severity_moe,control_typical,1,0.2863636314868927
2,decoupled_severity_moe,control_typical,2,0.7123376727104187
2,decoupled_severity_moe,control_typical,3,0.7958874702453613
2,decoupled_severity_moe,mild_dysarthria,0,0.2438202202320099
2,decoupled_severity_moe,mild_dysarthria,1,0.7011235952377319
2,decoupled_severity_moe,mild_dysarthria,2,0.391573041677475
2,decoupled_severity_moe,mild_dysarthria,3,0.6634831428527832
2,decoupled_severity_moe,moderate_dysarthria,0,0.508184552192688
2,decoupled_severity_moe,moderate_dysarthria,1,0.21026785671710968
2,decoupled_severity_moe,moderate_dysarthria,2,0.7096726298332214
2,decoupled_severity_moe,moderate_dysarthria,3,0.5718749761581421
2,decoupled_severity_moe,severe_dysarthria,0,0.6491525173187256
2,decoupled_severity_moe,severe_dysarthria,1,0.16790960729122162
2,decoupled_severity_moe,severe_dysarthria,2,0.5799999833106995
2,decoupled_severity_moe,severe_dysarthria,3,0.6029378771781921
2,calibrated_atypical_moe,control_typical,0,0.5731601715087891
2,calibrated_atypical_moe,control_typical,1,0.45541125535964966
2,calibrated_atypical_moe,control_typical,2,0.5361471772193909
2,calibrated_atypical_moe,control_typical,3,0.4352813959121704
2,calibrated_atypical_moe,mild_dysarthria,0,0.5844569206237793
2,calibrated_atypical_moe,mild_dysarthria,1,0.31910112500190735
2,calibrated_atypical_moe,mild_dysarthria,2,0.6490636467933655
2,calibrated_atypical_moe,mild_dysarthria,3,0.4473782777786255
2,calibrated_atypical_moe,moderate_dysarthria,0,0.2395833283662796
2,calibrated_atypical_moe,moderate_dysarthria,1,0.8471726179122925
2,calibrated_atypical_moe,moderate_dysarthria,2,0.7376487851142883
2,calibrated_atypical_moe,moderate_dysarthria,3,0.1755952388048172
2,calibrated_atypical_moe,severe_dysarthria,0,0.2661016881465912
2,calibrated_atypical_moe,severe_dysarthria,1,0.44395479559898376
2,calibrated_atypical_moe,severe_dysarthria,2,0.5884745717048645
2,calibrated_atypical_moe,severe_dysarthria,3,0.7014689445495605
3,standard_single_gate,control_typical,0,0.8047520518302917
3,standard_single_gate,control_typical,1,0.36115702986717224
3,standard_single_gate,control_typical,2,0.16342975199222565
3,standard_single_gate,control_typical,3,0.6706611514091492
3,standard_single_gate,mild_dysarthria,0,0.7744373083114624
3,standard_single_gate,mild_dysarthria,1,0.33102893829345703
3,standard_single_gate,mild_dysarthria,2,0.19549839198589325
3,standard_single_gate,mild_dysarthria,3,0.6990353465080261
3,standard_single_gate,moderate_dysarthria,0,0.6118489503860474
3,standard_single_gate,moderate_dysarthria,1,0.43411457538604736
3,standard_single_gate,moderate_dysarthria,2,0.2743489444255829
3,standard_single_gate,moderate_dysarthria,3,0.6796875
3,standard_single_gate,severe_dysarthria,0,0.47550168633461
3,standard_single_gate,severe_dysarthria,1,0.5214046835899353
3,standard_single_gate,severe_dysarthria,2,0.32265886664390564
3,standard_single_gate,severe_dysarthria,3,0.6804347634315491
3,matched_single_gate,control_typical,0,0.4163223206996918
3,matched_single_gate,control_typical,1,0.3473140597343445
3,matched_single_gate,control_typical,2,0.7524793148040771
3,matched_single_gate,control_typical,3,0.4838843047618866
3,matched_single_gate,mild_dysarthria,0,0.40434083342552185
3,matched_single_gate,mild_dysarthria,1,0.251446932554245
3,matched_single_gate,mild_dysarthria,2,0.8446945548057556
3,matched_single_gate,mild_dysarthria,3,0.49951767921447754
3,matched_single_gate,moderate_dysarthria,0,0.5308593511581421
3,matched_single_gate,moderate_dysarthria,1,0.2861979305744171
3,matched_single_gate,moderate_dysarthria,2,0.7627604007720947
3,matched_single_gate,moderate_dysarthria,3,0.4201822876930237
3,matched_single_gate,severe_dysarthria,0,0.5612040162086487
3,matched_single_gate,severe_dysarthria,1,0.14306020736694336
3,matched_single_gate,severe_dysarthria,2,0.7763378024101257
3,matched_single_gate,severe_dysarthria,3,0.5193979740142822
3,decoupled_severity_moe,control_typical,0,0.5993801355361938
3,decoupled_severity_moe,control_typical,1,0.28925618529319763
3,decoupled_severity_moe,control_typical,2,0.435537189245224
3,decoupled_severity_moe,control_typical,3,0.6758264303207397
3,decoupled_severity_moe,mild_dysarthria,0,0.6131832599639893
3,decoupled_severity_moe,mild_dysarthria,1,0.6519292593002319
3,decoupled_severity_moe,mild_dysarthria,2,0.28842443227767944
3,decoupled_severity_moe,mild_dysarthria,3,0.446463018655777
3,decoupled_severity_moe,moderate_dysarthria,0,0.5618489384651184
3,decoupled_severity_moe,moderate_dysarthria,1,0.602734386920929
3,decoupled_severity_moe,moderate_dysarthria,2,0.37617188692092896
3,decoupled_severity_moe,moderate_dysarthria,3,0.4592447876930237
3,decoupled_severity_moe,severe_dysarthria,0,0.6524247527122498
3,decoupled_severity_moe,severe_dysarthria,1,0.5540133714675903
3,decoupled_severity_moe,severe_dysarthria,2,0.42859530448913574
3,decoupled_severity_moe,severe_dysarthria,3,0.3649665415287018
3,calibrated_atypical_moe,control_typical,0,0.5654958486557007
3,calibrated_atypical_moe,control_typical,1,0.46115702390670776
3,calibrated_atypical_moe,control_typical,2,0.49359503388404846
3,calibrated_atypical_moe,control_typical,3,0.4797520637512207
3,calibrated_atypical_moe,mild_dysarthria,0,0.34051448106765747
3,calibrated_atypical_moe,mild_dysarthria,1,0.8165594935417175
3,calibrated_atypical_moe,mild_dysarthria,2,0.3133440613746643
3,calibrated_atypical_moe,mild_dysarthria,3,0.5295819640159607
3,calibrated_atypical_moe,moderate_dysarthria,0,0.3695312440395355
3,calibrated_atypical_moe,moderate_dysarthria,1,0.620312511920929
3,calibrated_atypical_moe,moderate_dysarthria,2,0.48294270038604736
3,calibrated_atypical_moe,moderate_dysarthria,3,0.5272135138511658
3,calibrated_atypical_moe,severe_dysarthria,0,0.6397993564605713
3,calibrated_atypical_moe,severe_dysarthria,1,0.3274247348308563
3,calibrated_atypical_moe,severe_dysarthria,2,0.40041807293891907
3,calibrated_atypical_moe,severe_dysarthria,3,0.6323578357696533
4,standard_single_gate,control_typical,0,0.6929149627685547
4,standard_single_gate,control_typical,1,0.40344130992889404
4,standard_single_gate,control_typical,2,0.31214573979377747
4,standard_single_gate,control_typical,3,0.5914979577064514
4,standard_single_gate,mild_dysarthria,0,0.715335488319397
4,standard_single_gate,mild_dysarthria,1,0.4714057445526123
4,standard_single_gate,mild_dysarthria,2,0.29361021518707275
4,standard_single_gate,mild_dysarthria,3,0.519648551940918
4,standard_single_gate,moderate_dysarthria,0,0.6868772506713867
4,standard_single_gate,moderate_dysarthria,1,0.4447144567966461
4,standard_single_gate,moderate_dysarthria,2,0.25273388624191284
4,standard_single_gate,moderate_dysarthria,3,0.6156743764877319
4,standard_single_gate,severe_dysarthria,0,0.49161794781684875
4,standard_single_gate,severe_dysarthria,1,0.591422975063324
4,standard_single_gate,severe_dysarthria,2,0.23284600675106049
4,standard_single_gate,severe_dysarthria,3,0.684113085269928
4,matched_single_gate,control_typical,0,0.5726720690727234
4,matched_single_gate,control_typical,1,0.39210525155067444
4,matched_single_gate,control_typical,2,0.3350202441215515
4,matched_single_gate,control_typical,3,0.7002024054527283
4,matched_single_gate,mild_dysarthria,0,0.44504791498184204
4,matched_single_gate,mild_dysarthria,1,0.48706069588661194
4,matched_single_gate,mild_dysarthria,2,0.36677315831184387
4,matched_single_gate,mild_dysarthria,3,0.7011182308197021
4,matched_single_gate,moderate_dysarthria,0,0.4893074035644531
4,matched_single_gate,moderate_dysarthria,1,0.44228431582450867
4,matched_single_gate,moderate_dysarthria,2,0.3153098523616791
4,matched_single_gate,moderate_dysarthria,3,0.7530984282493591
4,matched_single_gate,severe_dysarthria,0,0.4314814805984497
4,matched_single_gate,severe_dysarthria,1,0.326705664396286
4,matched_single_gate,severe_dysarthria,2,0.5213450193405151
4,matched_single_gate,severe_dysarthria,3,0.7204678654670715
4,decoupled_severity_moe,control_typical,0,0.7238866686820984
4,decoupled_severity_moe,control_typical,1,0.659919023513794
4,decoupled_severity_moe,control_typical,2,0.31963562965393066
4,decoupled_severity_moe,control_typical,3,0.2965587079524994
4,decoupled_severity_moe,mild_dysarthria,0,0.29824280738830566
4,decoupled_severity_moe,mild_dysarthria,1,0.4932907223701477
4,decoupled_severity_moe,mild_dysarthria,2,0.8437699675559998
4,decoupled_severity_moe,mild_dysarthria,3,0.3646964728832245
4,decoupled_severity_moe,moderate_dysarthria,0,0.30000001192092896
4,decoupled_severity_moe,moderate_dysarthria,1,0.6822600364685059
4,decoupled_severity_moe,moderate_dysarthria,2,0.5908870100975037
4,decoupled_severity_moe,moderate_dysarthria,3,0.4268529713153839
4,decoupled_severity_moe,severe_dysarthria,0,0.26520466804504395
4,decoupled_severity_moe,severe_dysarthria,1,0.43469786643981934
4,decoupled_severity_moe,severe_dysarthria,2,0.7662767767906189
4,decoupled_severity_moe,severe_dysarthria,3,0.5338206887245178
4,calibrated_atypical_moe,control_typical,0,0.6744939088821411
4,calibrated_atypical_moe,control_typical,1,0.44190284609794617
4,calibrated_atypical_moe,control_typical,2,0.3686234951019287
4,calibrated_atypical_moe,control_typical,3,0.5149797797203064
4,calibrated_atypical_moe,mild_dysarthria,0,0.4939297139644623
4,calibrated_atypical_moe,mild_dysarthria,1,0.2958466410636902
4,calibrated_atypical_moe,mild_dysarthria,2,0.6351437568664551
4,calibrated_atypical_moe,mild_dysarthria,3,0.5750798583030701
4,calibrated_atypical_moe,moderate_dysarthria,0,0.3970838487148285
4,calibrated_atypical_moe,moderate_dysarthria,1,0.5160388946533203
4,calibrated_atypical_moe,moderate_dysarthria,2,0.47970837354660034
4,calibrated_atypical_moe,moderate_dysarthria,3,0.6071689128875732
4,calibrated_atypical_moe,severe_dysarthria,0,0.6870370507240295
4,calibrated_atypical_moe,severe_dysarthria,1,9.746589057613164e-05
4,calibrated_atypical_moe,severe_dysarthria,2,0.3128654956817627
4,calibrated_atypical_moe,severe_dysarthria,3,1.0
5,standard_single_gate,control_typical,0,0.3037610650062561
5,standard_single_gate,control_typical,1,0.6261062026023865
5,standard_single_gate,control_typical,2,0.2938053011894226
5,standard_single_gate,control_typical,3,0.7763274312019348
5,standard_single_gate,mild_dysarthria,0,0.2629513442516327
5,standard_single_gate,mild_dysarthria,1,0.6799058318138123
5,standard_single_gate,mild_dysarthria,2,0.2976452112197876
5,standard_single_gate,mild_dysarthria,3,0.7594976425170898
5,standard_single_gate,moderate_dysarthria,0,0.2922077775001526
5,standard_single_gate,moderate_dysarthria,1,0.6937426328659058
5,standard_single_gate,moderate_dysarthria,2,0.3236127495765686
5,standard_single_gate,moderate_dysarthria,3,0.690436840057373
5,standard_single_gate,severe_dysarthria,0,0.39384788274765015
5,standard_single_gate,severe_dysarthria,1,0.6149888038635254
5,standard_single_gate,severe_dysarthria,2,0.4637583792209625
5,standard_single_gate,severe_dysarthria,3,0.5274049043655396
5,matched_single_gate,control_typical,0,0.22942477464675903
5,matched_single_gate,control_typical,1,0.47831857204437256
5,matched_single_gate,control_typical,2,0.4396017789840698
5,matched_single_gate,control_typical,3,0.8526548743247986
5,matched_single_gate,mild_dysarthria,0,0.27315542101860046
5,matched_single_gate,mild_dysarthria,1,0.48367348313331604
5,matched_single_gate,mild_dysarthria,2,0.394662469625473
5,matched_single_gate,mild_dysarthria,3,0.8485086560249329
5,matched_single_gate,moderate_dysarthria,0,0.26670601963996887
5,matched_single_gate,moderate_dysarthria,1,0.5970484018325806
5,matched_single_gate,moderate_dysarthria,2,0.30979928374290466
5,matched_single_gate,moderate_dysarthria,3,0.8264462947845459
5,matched_single_gate,severe_dysarthria,0,0.33098435401916504
5,matched_single_gate,severe_dysarthria,1,0.7063758373260498
5,matched_single_gate,severe_dysarthria,2,0.29071587324142456
5,matched_single_gate,severe_dysarthria,3,0.6719239354133606
5,decoupled_severity_moe,control_typical,0,0.26659291982650757
5,decoupled_severity_moe,control_typical,1,0.5922566652297974
5,decoupled_severity_moe,control_typical,2,0.47477877140045166
5,decoupled_severity_moe,control_typical,3,0.6663717031478882
5,decoupled_severity_moe,mild_dysarthria,0,0.25149136781692505
5,decoupled_severity_moe,mild_dysarthria,1,0.5839874148368835
5,decoupled_severity_moe,mild_dysarthria,2,0.40816327929496765
5,decoupled_severity_moe,mild_dysarthria,3,0.7563579082489014
5,decoupled_severity_moe,moderate_dysarthria,0,0.63860684633255
5,decoupled_severity_moe,moderate_dysarthria,1,0.3412042558193207
5,decoupled_severity_moe,moderate_dysarthria,2,0.34746164083480835
5,decoupled_severity_moe,moderate_dysarthria,3,0.6727272868156433
5,decoupled_severity_moe,severe_dysarthria,0,0.40380313992500305
5,decoupled_severity_moe,severe_dysarthria,1,0.2876957356929779
5,decoupled_severity_moe,severe_dysarthria,2,0.4576062560081482
5,decoupled_severity_moe,severe_dysarthria,3,0.8508948683738708
5,calibrated_atypical_moe,control_typical,0,0.3880530893802643
5,calibrated_atypical_moe,control_typical,1,0.5269911289215088
5,calibrated_atypical_moe,control_typical,2,0.6176990866661072
5,calibrated_atypical_moe,control_typical,3,0.467256635427475
5,calibrated_atypical_moe,mild_dysarthria,0,0.7739403247833252
5,calibrated_atypical_moe,mild_dysarthria,1,0.5431711077690125
5,calibrated_atypical_moe,mild_dysarthria,2,0.2073783427476883
5,calibrated_atypical_moe,mild_dysarthria,3,0.47551020979881287
5,calibrated_atypical_moe,moderate_dysarthria,0,0.5548996329307556
5,calibrated_atypical_moe,moderate_dysarthria,1,0.5181818008422852
5,calibrated_atypical_moe,moderate_dysarthria,2,0.4017709493637085
5,calibrated_atypical_moe,moderate_dysarthria,3,0.525147557258606
5,calibrated_atypical_moe,severe_dysarthria,0,0.46454137563705444
5,calibrated_atypical_moe,severe_dysarthria,1,0.3559284210205078
5,calibrated_atypical_moe,severe_dysarthria,2,0.5699105262756348
5,calibrated_atypical_moe,severe_dysarthria,3,0.609619677066803
